1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
8:58.0,Offensive foul by K. Ware (drawn by T. Jones),,103-97,,
8:58.0,Turnover by K. Ware (offensive foul),,103-97,,
8:49.0,,,103-97,,Shooting foul by D. Mitchell (drawn by G. Bitadze)
8:49.0,,,103-98,+1,G. Bitadze makes free throw 1 of 2
8:49.0,,,103-99,+1,G. Bitadze makes free throw 2 of 2
8:36.0,K. Ware makes 2-pt dunk from 2 ft (assist by S. Fontecchio),+2,105-99,,
8:25.0,,,105-99,,A. Black misses 2-pt layup from 3 ft (block by N. Powell)
8:21.0,Defensive rebound by N. Powell,,105-99,,
8:14.0,D. Mitchell makes 2-pt layup from 4 ft,+2,107-99,,
8:05.0,,,107-99,,T. Jones misses 3-pt jump shot from 26 ft
8:02.0,,,107-99,,Offensive rebound by G. Bitadze
8:02.0,,,107-101,+2,T. Da Silva makes 2-pt jump shot from 2 ft (assist by G. Bitadze)
8:02.0,Miami full timeout,,107-101,,
8:02.0,B. Adebayo enters the game for D. Mitchell,,107-101,,
8:02.0,D. Smith enters the game for N. Powell,,107-101,,
8:02.0,A. Wiggins enters the game for K. Ware,,107-101,,
8:02.0,,,107-101,,P. Banchero enters the game for G. Bitadze
8:02.0,,,107-101,,D. Bane enters the game for T. Jones
8:02.0,,,107-101,,W. Carter enters the game for F. Wagner
7:49.0,S. Fontecchio makes 2-pt layup from 6 ft (assist by D. Smith),+2,109-101,,
7:25.0,,,109-101,,D. Bane misses 3-pt jump shot from 22 ft
7:23.0,,,109-101,,Offensive rebound by W. Carter
7:10.0,,,109-101,,A. Black misses 2-pt jump shot from 15 ft
7:10.0,,,109-101,,Offensive rebound by Team
7:06.0,,,109-101,,T. Da Silva misses 3-pt jump shot from 24 ft
7:06.0,Defensive rebound by Team,,109-101,,
7:06.0,,,109-101,,Loose ball foul by W. Carter (drawn by A. Wiggins)
6:46.0,B. Adebayo misses 2-pt hook shot from 11 ft,,109-101,,
6:45.0,Offensive rebound by B. Adebayo,,109-101,,
6:44.0,Turnover by B. Adebayo (lost ball; steal by W. Carter),,109-101,,
6:35.0,,,109-103,+2,P. Banchero makes 2-pt layup from 2 ft
6:35.0,,,109-103,,Shooting foul by D. Smith (drawn by P. Banchero)
6:35.0,,,109-104,+1,P. Banchero makes free throw 1 of 1
6:22.0,S. Fontecchio makes 2-pt jump shot from 17 ft,+2,111-104,,
6:10.0,,,111-104,,D. Bane misses 2-pt hook shot from 5 ft
6:08.0,Defensive rebound by B. Adebayo,,111-104,,
6:05.0,Turnover by A. Wiggins (out of bounds lost ball),,111-104,,
5:50.0,,,111-107,+3,D. Bane makes 3-pt jump shot from 28 ft (assist by A. Black)
5:39.0,Personal foul by P. Banchero (drawn by B. Adebayo),,111-107,,
5:39.0,N. Jović enters the game for S. Fontecchio,,111-107,,
5:39.0,D. Mitchell enters the game for J. Jaquez,,111-107,,
5:39.0,N. Powell enters the game for D. Smith,,111-107,,
5:39.0,,,111-107,,J. Suggs enters the game for A. Black
5:39.0,,,111-107,,F. Wagner enters the game for T. Da Silva
5:25.0,B. Adebayo misses 3-pt jump shot from 25 ft,,111-107,,
5:24.0,Offensive rebound by Team,,111-107,,
5:24.0,Turnover by Team (shot clock),,111-107,,
5:15.0,,,111-107,,P. Banchero misses 3-pt jump shot from 26 ft
5:13.0,Defensive rebound by B. Adebayo,,111-107,,
5:03.0,D. Mitchell misses 2-pt layup from 2 ft (block by P. Banchero),,111-107,,
5:03.0,,,111-107,,Defensive rebound by W. Carter
4:59.0,,,111-107,,Shooting foul by A. Wiggins (drawn by P. Banchero)
4:59.0,,,111-107,,P. Banchero misses free throw 1 of 2
4:59.0,,,111-107,,Offensive rebound by Team
4:59.0,,,111-108,+1,P. Banchero makes free throw 2 of 2
4:50.0,Turnover by D. Mitchell (bad pass; steal by J. Suggs),,111-108,,
4:47.0,,,111-110,+2,J. Suggs makes 2-pt layup from 1 ft
4:30.0,Shooting foul by F. Wagner (drawn by A. Wiggins),,111-110,,
4:30.0,,,111-110,,Orlando full timeout
4:30.0,,,111-110,,Instant Replay (Challenge: Stands)
4:30.0,A. Wiggins makes free throw 1 of 2,+1,112-110,,
4:30.0,A. Wiggins makes free throw 2 of 2,+1,113-110,,
4:14.0,,,113-110,,P. Banchero misses 2-pt layup from 3 ft
4:14.0,,,113-110,,Offensive rebound by W. Carter
4:14.0,,,113-110,,Shooting foul by N. Jović (drawn by W. Carter)
4:14.0,,,113-111,+1,W. Carter makes free throw 1 of 2
4:14.0,J. Jaquez enters the game for N. Jović,,113-111,,
4:14.0,,,113-112,+1,W. Carter makes free throw 2 of 2
4:00.0,D. Mitchell misses 3-pt jump shot from 25 ft,,113-112,,
3:57.0,,,113-112,,Defensive rebound by J. Suggs
3:51.0,,,113-112,,D. Bane misses 3-pt jump shot from 22 ft
3:49.0,,,113-112,,Offensive rebound by W. Carter
3:49.0,,,113-114,+2,W. Carter makes 2-pt layup from 2 ft
3:49.0,,,113-114,,Shooting foul by J. Jaquez (drawn by W. Carter)
3:49.0,,,113-115,+1,W. Carter makes free throw 1 of 1
3:45.0,Miami full timeout,,113-115,,
3:45.0,Turnover by (5 sec),,113-115,,
3:30.0,,,113-115,,D. Bane misses 2-pt jump shot from 21 ft
3:30.0,,,113-115,,Offensive rebound by Team
3:28.0,,,113-115,,Turnover by J. Suggs (bad pass; steal by A. Wiggins)
3:25.0,Shooting foul by D. Bane (drawn by A. Wiggins),,113-115,,
3:25.0,A. Wiggins makes free throw 1 of 2,+1,114-115,,
3:25.0,A. Wiggins makes free throw 2 of 2,+1,115-115,,
3:05.0,,,115-115,,F. Wagner misses 2-pt layup from 4 ft
3:03.0,Defensive rebound by N. Powell,,115-115,,
3:01.0,Offensive foul by N. Powell (drawn by J. Suggs),,115-115,,
3:01.0,Turnover by N. Powell (offensive foul),,115-115,,
3:01.0,Miami full timeout,,115-115,,
3:01.0,Instant Replay (Challenge: Stands),,115-115,,
2:42.0,,,115-115,,F. Wagner misses 2-pt layup from 4 ft
2:40.0,Defensive rebound by N. Powell,,115-115,,
2:35.0,Shooting foul by D. Bane (drawn by N. Powell),,115-115,,
2:35.0,N. Powell makes free throw 1 of 2,+1,116-115,,
2:35.0,N. Powell misses free throw 2 of 2,,116-115,,
2:33.0,,,116-115,,Defensive rebound by P. Banchero
2:24.0,,,116-115,,Personal foul by D. Mitchell (drawn by P. Banchero)
2:24.0,,,116-116,+1,P. Banchero makes free throw 1 of 2
2:24.0,,,116-117,+1,P. Banchero makes free throw 2 of 2
2:07.0,N. Powell misses 2-pt jump shot from 3 ft,,116-117,,
2:02.0,Offensive rebound by B. Adebayo,,116-117,,
2:02.0,B. Adebayo misses 2-pt layup at rim,,116-117,,
2:02.0,,,116-117,,Defensive rebound by D. Bane
1:48.0,,,116-117,,P. Banchero misses 2-pt jump shot from 11 ft
1:45.0,Defensive rebound by A. Wiggins,,116-117,,
1:41.0,B. Adebayo misses 2-pt layup from 4 ft (block by W. Carter),,116-117,,
1:37.0,,,116-117,,Defensive rebound by J. Suggs
1:35.0,,,116-119,+2,P. Banchero makes 2-pt dunk from 2 ft (assist by D. Bane)
1:13.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by J. Jaquez),+3,119-119,,
0:58.0,,,119-121,+2,J. Suggs makes 2-pt jump shot from 11 ft
0:42.0,A. Wiggins misses 3-pt jump shot from 26 ft,,119-121,,
0:40.0,Offensive rebound by J. Jaquez,,119-121,,
0:39.0,D. Mitchell misses 3-pt jump shot from 24 ft,,119-121,,
0:39.0,,,119-121,,Defensive rebound by D. Bane
0:37.0,,,119-121,,Personal foul by B. Adebayo (drawn by D. Bane)
0:37.0,,,119-122,+1,D. Bane makes free throw 1 of 2
0:37.0,,,119-123,+1,D. Bane makes free throw 2 of 2
0:30.0,N. Powell makes 2-pt dunk from 3 ft (assist by D. Mitchell),+2,121-123,,
0:06.0,,,121-123,,P. Banchero misses 2-pt jump shot from 9 ft
0:06.0,,,121-123,,Offensive rebound by W. Carter
0:06.0,,,121-123,,Personal foul by B. Adebayo (drawn by W. Carter)
0:06.0,,,121-124,+1,W. Carter makes free throw 1 of 2
0:06.0,K. Ware enters the game for D. Mitchell,,121-124,,
0:06.0,,,121-125,+1,W. Carter makes free throw 2 of 2
0:06.0,Miami full timeout,,121-125,,
0:06.0,N. Jović enters the game for J. Jaquez,,121-125,,
0:06.0,D. Mitchell enters the game for K. Ware,,121-125,,
0:03.0,B. Adebayo misses 3-pt jump shot from 28 ft,,121-125,,
0:03.0,,,121-125,,Defensive rebound by W. Carter
0:00.0,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter
