1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5,table
0:59.0,,,46-62,+2,M. Bridges makes 2-pt layup from 1 ft (assist by J. Brunson),pbp
0:59.0,Technical foul by K. Atkinson,,46-62,,,pbp
0:59.0,,,46-63,+1,K. Towns makes technical free throw,pbp
0:47.0,D. Mitchell misses 2-pt jump shot from 16 ft,,46-63,,,pbp
0:44.0,,,46-63,,Defensive rebound by K. Towns,pbp
0:41.0,,,46-63,,Turnover by M. McBride (bad pass; steal by D. Mitchell),pbp
0:38.0,Shooting foul by M. Bridges (drawn by D. Mitchell),,46-63,,,pbp
0:38.0,D. Mitchell makes free throw 1 of 2,+1,47-63,,,pbp
0:38.0,D. Mitchell makes free throw 2 of 2,+1,48-63,,,pbp
0:29.0,,,48-65,+2,J. Brunson makes 2-pt jump shot from 12 ft,pbp
0:09.0,D. Mitchell makes 2-pt jump shot from 18 ft,+2,50-65,,,pbp
0:09.0,D. Wade enters the game for L. Ball,,50-65,,,pbp
0:00.0,,,50-65,,M. Bridges misses 3-pt jump shot from 26 ft,pbp
0:00.0,,,50-65,,Offensive rebound by Team,pbp
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,pbp
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,pbp
Time,Cleveland,,Score,,New York,pbp
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,pbp
11:47.0,,,50-65,,K. Towns misses 2-pt layup from 1 ft,pbp
11:44.0,Defensive rebound by D. Mitchell,,50-65,,,pbp
11:42.0,D. Mitchell makes 2-pt layup from 4 ft,+2,52-65,,,pbp
11:42.0,Shooting foul by M. Bridges (drawn by D. Mitchell),,52-65,,,pbp
11:42.0,D. Mitchell makes free throw 1 of 1,+1,53-65,,,pbp
11:28.0,,,53-65,,Shooting foul by J. Tyson (drawn by J. Brunson),pbp
11:28.0,,,53-66,+1,J. Brunson makes free throw 1 of 2,pbp
11:28.0,,,53-67,+1,J. Brunson makes free throw 2 of 2,pbp
11:20.0,Personal foul by A. Hukporti (drawn by J. Allen),,53-67,,,pbp
11:15.0,D. Mitchell makes 2-pt jump shot from 17 ft (assist by J. Allen),+2,55-67,,,pbp
10:56.0,,,55-67,,Personal foul by D. Mitchell (drawn by J. Brunson),pbp
10:47.0,,,55-67,,J. Brunson misses 2-pt jump shot from 10 ft,pbp
10:45.0,Defensive rebound by S. Merrill,,55-67,,,pbp
10:33.0,D. Mitchell makes 3-pt jump shot from 29 ft,+3,58-67,,,pbp
