1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
9:48.0,D. Green misses free throw 1 of 1,,95-81,,
9:46.0,,,95-81,,Defensive rebound by J. Hayes
9:32.0,Loose ball foul by D. Green (drawn by A. Reaves),,95-81,,
9:25.0,,,95-83,+2,A. Reaves makes 2-pt layup from 2 ft
9:25.0,,,95-83,,Shooting foul by Q. Post (drawn by A. Reaves)
9:25.0,,,95-84,+1,A. Reaves makes free throw 1 of 1
9:01.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Green),+3,98-84,,
8:41.0,,,98-84,,Personal foul by J. Butler (drawn by A. Reaves)
8:41.0,,,98-84,,G. Vincent enters the game for M. Smart
8:27.0,,,98-84,,J. LaRavia misses 2-pt jump shot from 4 ft
8:26.0,,,98-84,,Offensive rebound by J. Hayes
8:22.0,,,98-84,,J. Hayes misses 2-pt dunk from 4 ft (block by D. Green)
8:19.0,Defensive rebound by J. Butler,,98-84,,
8:09.0,J. Butler makes 2-pt hook shot from 4 ft,+2,100-84,,
7:54.0,,,100-84,,R. Hachimura misses 3-pt jump shot from 25 ft
7:53.0,Defensive rebound by B. Podziemski,,100-84,,
7:50.0,Golden State full timeout,,100-84,,
7:50.0,S. Curry enters the game for J. Butler,,100-84,,
7:50.0,A. Horford enters the game for D. Green,,100-84,,
7:50.0,J. Kuminga enters the game for B. Podziemski,,100-84,,
7:50.0,W. Richard enters the game for Q. Post,,100-84,,
7:50.0,,,100-84,,D. Ayton enters the game for J. Hayes
7:50.0,,,100-84,,L. Dončić enters the game for J. LaRavia
7:41.0,Turnover by S. Curry (bad pass; steal by A. Reaves),,100-84,,
7:39.0,Loose ball foul by W. Richard (drawn by A. Reaves),,100-84,,
7:16.0,,,100-86,+2,L. Dončić makes 2-pt jump shot from 5 ft (assist by R. Hachimura)
7:00.0,A. Horford misses 3-pt jump shot from 26 ft,,100-86,,
6:57.0,,,100-86,,Defensive rebound by L. Dončić
6:51.0,,,100-86,,Turnover by A. Reaves (step out of bounds)
6:39.0,A. Horford makes 2-pt layup from 2 ft (assist by J. Kuminga),+2,102-86,,
6:24.0,,,102-88,+2,D. Ayton makes 2-pt jump shot from 7 ft (assist by L. Dončić)
6:02.0,B. Hield misses 3-pt jump shot from 27 ft,,102-88,,
5:59.0,,,102-88,,Defensive rebound by A. Reaves
5:56.0,,,102-90,+2,L. Dončić makes 2-pt jump shot from 4 ft (assist by A. Reaves)
5:56.0,Golden State full timeout,,102-90,,
5:56.0,B. Podziemski enters the game for B. Hield,,102-90,,
5:40.0,W. Richard makes 3-pt jump shot from 25 ft (assist by S. Curry),+3,105-90,,
5:22.0,,,105-93,+3,R. Hachimura makes 3-pt jump shot from 29 ft (assist by L. Dončić)
5:07.0,Offensive foul by A. Horford (drawn by G. Vincent),,105-93,,
5:07.0,Turnover by A. Horford (offensive foul),,105-93,,
4:50.0,,,105-95,+2,L. Dončić makes 2-pt jump shot from 3 ft
4:34.0,Turnover by A. Horford (bad pass; steal by A. Reaves),,105-95,,
4:26.0,,,105-97,+2,D. Ayton makes 2-pt layup from 4 ft (assist by A. Reaves)
4:09.0,S. Curry misses 3-pt jump shot from 27 ft,,105-97,,
4:06.0,,,105-97,,Defensive rebound by R. Hachimura
3:59.0,,,105-99,+2,A. Reaves makes 2-pt layup from 3 ft
3:59.0,Golden State full timeout,,105-99,,
3:59.0,J. Butler enters the game for A. Horford,,105-99,,
3:59.0,D. Green enters the game for W. Richard,,105-99,,
3:34.0,D. Green makes 3-pt jump shot from 23 ft (assist by J. Butler),+3,108-99,,
3:16.0,,,108-99,,Shooting foul by D. Green (drawn by A. Reaves)
3:16.0,,,108-99,,A. Reaves misses free throw 1 of 2
3:16.0,,,108-99,,Offensive rebound by Team
3:16.0,,,108-100,+1,A. Reaves makes free throw 2 of 2
2:57.0,S. Curry misses 3-pt jump shot from 26 ft,,108-100,,
2:51.0,,,108-100,,Defensive rebound by R. Hachimura
2:39.0,,,108-100,,G. Vincent misses 3-pt jump shot from 27 ft (block by S. Curry)
2:39.0,Defensive rebound by Team,,108-100,,
2:29.0,J. Butler makes 2-pt layup from 2 ft,+2,110-100,,
2:17.0,,,110-100,,Shooting foul by J. Butler (drawn by A. Reaves)
2:17.0,,,110-101,+1,A. Reaves makes free throw 1 of 2
2:17.0,,,110-102,+1,A. Reaves makes free throw 2 of 2
2:03.0,Shooting foul by R. Hachimura (drawn by J. Butler),,110-102,,
2:03.0,J. Butler makes free throw 1 of 2,+1,111-102,,
2:03.0,G. Payton enters the game for B. Podziemski,,111-102,,
2:03.0,J. Butler makes free throw 2 of 2,+1,112-102,,
1:52.0,,,112-105,+3,A. Reaves makes 3-pt jump shot from 27 ft (assist by L. Dončić)
1:35.0,G. Payton makes 2-pt layup from 4 ft (assist by J. Butler),+2,114-105,,
1:22.0,,,114-107,+2,L. Dončić makes 2-pt jump shot from 5 ft (assist by R. Hachimura)
1:16.0,Personal foul by L. Dončić (drawn by J. Butler),,114-107,,
1:03.0,J. Butler misses 3-pt jump shot from 28 ft,,114-107,,
1:00.0,Offensive rebound by J. Kuminga,,114-107,,
0:51.0,S. Curry makes 3-pt jump shot from 36 ft (assist by G. Payton),+3,117-107,,
0:43.0,,,117-109,+2,A. Reaves makes 2-pt layup from 1 ft
0:39.0,Personal take foul by G. Vincent (drawn by S. Curry),,117-109,,
0:39.0,S. Curry makes free throw 1 of 2,+1,118-109,,
0:39.0,S. Curry makes free throw 2 of 2,+1,119-109,,
0:39.0,,,119-109,,LA Lakers full timeout
0:39.0,,,119-109,,M. Smart enters the game for R. Hachimura
0:35.0,,,119-109,,L. Dončić misses 3-pt jump shot from 23 ft
0:33.0,Defensive rebound by G. Payton,,119-109,,
0:12.0,Turnover by Team (shot clock),,119-109,,
0:00.0,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter
