1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Houston,,Score,,Oklahoma City
12:00.0,Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession),Jump ball: S. Adams vs. C. Holmgren (A. Thompson gains possession)
4:27.0,,,46-45,+3,A. Mitchell makes 3-pt jump shot from 23 ft (assist by C. Wallace)
4:06.0,R. Sheppard misses 3-pt jump shot from 25 ft,,46-45,,
4:05.0,Offensive rebound by Team,,46-45,,
4:05.0,,,46-45,,Loose ball foul by I. Hartenstein (drawn by S. Adams)
4:05.0,,,46-45,,J. Williams enters the game for I. Hartenstein
3:52.0,A. Şengün misses 2-pt jump shot from 15 ft,,46-45,,
3:48.0,,,46-45,,Defensive rebound by C. Wallace
3:31.0,,,46-45,,A. Mitchell misses 3-pt jump shot from 26 ft
3:27.0,Defensive rebound by A. Şengün,,46-45,,
3:11.0,Personal foul by L. Dort (drawn by K. Durant),,46-45,,
3:11.0,J. Smith enters the game for R. Sheppard,,46-45,,
3:04.0,J. Smith misses 3-pt jump shot from 23 ft,,46-45,,
3:02.0,Offensive rebound by A. Şengün,,46-45,,
3:02.0,A. Şengün misses 2-pt layup at rim,,46-45,,
3:00.0,Offensive rebound by J. Smith,,46-45,,
2:46.0,K. Durant makes 2-pt jump shot from 13 ft,+2,48-45,,
2:46.0,,,48-45,,Oklahoma City full timeout
2:46.0,,,48-45,,C. Holmgren enters the game for A. Mitchell
2:35.0,,,48-45,,J. Williams misses 3-pt jump shot from 26 ft
2:33.0,Defensive rebound by Team,,48-45,,
2:15.0,K. Durant makes 2-pt jump shot from 20 ft,+2,50-45,,
2:03.0,,,50-45,,L. Dort misses 3-pt jump shot from 27 ft
2:01.0,,,50-45,,Offensive rebound by C. Holmgren
1:58.0,,,50-45,,J. Williams misses 3-pt jump shot from 27 ft
1:54.0,Defensive rebound by K. Durant,,50-45,,
1:44.0,A. Şengün makes 3-pt jump shot from 25 ft (assist by K. Durant),+3,53-45,,
1:32.0,,,53-45,,J. Williams misses 3-pt jump shot from 27 ft
1:31.0,Defensive rebound by Team,,53-45,,
1:31.0,Houston full timeout,,53-45,,
1:31.0,Instant Replay (Challenge: Ruling Stands),,53-45,,
1:31.0,T. Eason enters the game for J. Smith,,53-45,,
1:09.0,A. Thompson misses 3-pt jump shot from 25 ft,,53-45,,
1:05.0,,,53-45,,Defensive rebound by C. Holmgren
0:56.0,,,53-47,+2,S. Gilgeous-Alexander makes 2-pt layup from 2 ft
0:38.0,K. Durant makes 2-pt jump shot from 12 ft (assist by S. Adams),+2,55-47,,
0:22.0,,,55-47,,C. Holmgren misses 3-pt jump shot from 27 ft
0:19.0,Defensive rebound by K. Durant,,55-47,,
0:05.0,,,55-47,,Violation by Team (kicked ball)
0:05.0,,,55-47,,A. Caruso enters the game for L. Dort
0:05.0,Personal foul by C. Holmgren (drawn by A. Şengün),,55-47,,
0:05.0,A. Şengün makes free throw 1 of 2,+1,56-47,,
0:05.0,J. Okogie enters the game for S. Adams,,56-47,,
0:05.0,,,56-47,,A. Mitchell enters the game for A. Caruso
0:05.0,A. Şengün makes free throw 2 of 2,+1,57-47,,
0:03.0,,,57-47,,Personal foul by A. Thompson (drawn by S. Gilgeous-Alexander)
0:00.0,,,57-50,+3,A. Mitchell makes 3-pt jump shot from 25 ft
0:00.0,,,57-50,,Shooting foul by J. Okogie (drawn by A. Mitchell)
0:00.0,,,57-50,,Instant Replay (Request: Stands)
0:00.0,S. Adams enters the game for K. Durant,,57-50,,
0:00.0,,,57-51,+1,A. Mitchell makes free throw 1 of 1
0:00.0,Team misses heave shot,,57-51,,
0:00.0,Offensive rebound by Team,,57-51,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Houston,,Score,,Oklahoma City
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:47.0,,,57-51,,C. Holmgren misses 3-pt jump shot from 26 ft
11:43.0,Defensive rebound by K. Durant,,57-51,,
11:31.0,J. Smith makes 2-pt layup from 2 ft,+2,59-51,,
11:16.0,,,59-51,,C. Wallace misses 3-pt jump shot from 25 ft
11:13.0,Defensive rebound by S. Adams,,59-51,,
11:02.0,K. Durant makes 2-pt jump shot from 8 ft,+2,61-51,,
10:47.0,,,61-51,,L. Dort misses 2-pt jump shot from 10 ft
10:44.0,Defensive rebound by S. Adams,,61-51,,
10:37.0,Turnover by S. Adams (bad pass),,61-51,,
10:21.0,,,61-51,,Turnover by C. Holmgren (bad pass)
10:13.0,A. Thompson makes 2-pt layup from 1 ft,+2,63-51,,
10:11.0,,,63-51,,Oklahoma City full timeout
9:59.0,,,63-51,,Turnover by L. Dort (bad pass; steal by J. Smith)
9:46.0,J. Smith misses 3-pt jump shot from 23 ft,,63-51,,
9:43.0,,,63-51,,Defensive rebound by C. Wallace
9:39.0,,,63-51,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft
9:34.0,Defensive rebound by S. Adams,,63-51,,
9:24.0,Offensive foul by A. Thompson (drawn by A. Caruso),,63-51,,
9:24.0,Turnover by A. Thompson (offensive foul),,63-51,,
9:12.0,,,63-53,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft (assist by L. Dort)
8:58.0,Turnover by A. Thompson (bad pass; steal by A. Caruso),,63-53,,
8:55.0,,,63-55,+2,A. Caruso makes 2-pt dunk at rim
8:28.0,J. Smith misses 2-pt jump shot from 12 ft,,63-55,,
8:26.0,,,63-55,,Defensive rebound by Team
8:17.0,,,63-57,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft
7:57.0,Shooting foul by A. Caruso (drawn by A. Şengün),,63-57,,
7:57.0,A. Şengün makes free throw 1 of 2,+1,64-57,,
7:57.0,,,64-57,,I. Hartenstein enters the game for A. Caruso
7:57.0,A. Şengün makes free throw 2 of 2,+1,65-57,,
7:43.0,,,65-60,+3,C. Wallace makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander)
7:25.0,A. Şengün misses 2-pt jump shot from 8 ft,,65-60,,
7:25.0,Offensive rebound by Team,,65-60,,
7:25.0,,,65-60,,Loose ball foul by C. Wallace (drawn by S. Adams)
7:21.0,Jump ball: K. Durant vs. L. Dort (S. Adams gains possession),Jump ball: K. Durant vs. L. Dort (S. Adams gains possession),Jump ball: K. Durant vs. L. Dort (S. Adams gains possession),Jump ball: K. Durant vs. L. Dort (S. Adams gains possession),Jump ball: K. Durant vs. L. Dort (S. Adams gains possession)
7:13.0,A. Şengün makes 2-pt layup from 2 ft,+2,67-60,,
7:02.0,,,67-60,,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft
7:00.0,,,67-60,,Offensive rebound by Team
7:00.0,Loose ball foul by J. Smith (drawn by I. Hartenstein),,67-60,,
6:52.0,,,67-60,,C. Holmgren misses 2-pt jump shot from 12 ft
6:50.0,,,67-60,,Offensive rebound by I. Hartenstein
6:50.0,Jump ball: I. Hartenstein vs. S. Adams (S. Gilgeous-Alexander gains possession),Jump ball: I. Hartenstein vs. S. Adams (S. Gilgeous-Alexander gains possession),Jump ball: I. Hartenstein vs. S. Adams (S. Gilgeous-Alexander gains possession),Jump ball: I. Hartenstein vs. S. Adams (S. Gilgeous-Alexander gains possession),Jump ball: I. Hartenstein vs. S. Adams (S. Gilgeous-Alexander gains possession)
6:37.0,,,67-60,,C. Wallace misses 3-pt jump shot from 23 ft
6:33.0,Defensive rebound by S. Adams,,67-60,,
6:24.0,A. Şengün misses 3-pt jump shot from 23 ft,,67-60,,
6:20.0,Offensive rebound by S. Adams,,67-60,,
6:16.0,Turnover by K. Durant (lost ball; steal by C. Wallace),,67-60,,
6:13.0,,,67-60,,Shooting foul by K. Durant (drawn by C. Wallace)
6:13.0,,,67-60,,C. Wallace misses free throw 1 of 2
